原码       频率       哈夫曼编码                                                                                           长度  十进制    
0          0          001100000000000111110011110110110111011001111010                                                     48    52784944346746
1          0          00110000000000011111001001101                                                                        29    100679245 
2          0          001100000000000111110011110110110111011001111011                                                     48    52784944346747
3          0          001100000000000111111010                                                                             24    3146234   
4          0          001100000000000111110010000                                                                          27    25169808  
5          0          00110000000000011111001111011001010110                                                               38    51547797078
6          0          001100000000000111110011110110110111011011010100                                                     48    52784944346836
7          0          00110000000000001110                                                                                 20    196622    
8          0          001100000000000111111011                                                                             24    3146235   
9          0          00110000000000011111001010                                                                           26    12584906  
10         619        011001                                                                                               6     25        
11         0          001100000000000111110011111111                                                                       30    201358591 
12         0          00110000000000011111001111011001010111                                                               38    51547797079
13         619        011010                                                                                               6     26        
14         0          001100000000000111110011110110110111011011010101                                                     48    52784944346837
15         0          0011000000000001110                                                                                  19    98318     
16         0          00110000000000011110                                                                                 20    196638    
17         0          0011000000000001111101                                                                               22    786557    
18         0          00110000000000001111010                                                                              23    1572986   
19         0          0011000000000001111100011                                                                            25    6292451   
20         0          00110000000000011111001011                                                                           26    12584907  
21         0          001100000000000111110010001                                                                          27    25169809  
22         0          00110000000000011111001111100                                                                        29    100679292 
23         0          0011000000000001111100100100                                                                         28    50339620  
24         0          00110000000000011111001001100100                                                                     32    805433956 
25         0          001100000000000111110011111100110                                                                    33    1610868710
26         0          00110000000000011111001111011011010110                                                               38    51547797206
27         0          0011000000000001111100111101101101110111101                                                          43    1649529510845
28         0          0011000000000001111100111101101101110111110                                                          43    1649529510846
29         0          001100000000000111110011110110110111011110000                                                        45    6598118043376
30         0          001100000000000111110011110110110111011011011110                                                     48    52784944346846
31         0          001100000000000010                                                                                   18    49154     
32         1681       11010                                                                                                5     26        
33         15         00110000001                                                                                          11    385       
34         0          0011000000000000110                                                                                  19    98310     
35         0          001100000000000011111                                                                                21    393247    
36         0          0011000000000001111111                                                                               22    786559    
37         0          00110000000000011111100                                                                              23    1573116   
38         0          00110000000000001111011                                                                              23    1572987   
39         27         11111011000                                                                                          11    2008      
40         1          001100000001111                                                                                      15    6159      
41         0          0011000000000001111100000                                                                            25    6292448   
42         0          00110000000000011111001100                                                                           26    12584908  
43         0          00110000000000011111000010                                                                           26    12584898  
44         106        110111101                                                                                            9     445       
45         18         00111110111                                                                                          11    503       
46         50         1101111000                                                                                           10    888       
47         0          001100000000000111110001001                                                                          27    25169801  
48         0          0011000000000001111100100101                                                                         28    50339621  
49         0          001100000000000111110011110111                                                                       30    201358583 
50         0          00110000000000011111001001100101                                                                     32    805433957 
51         0          001100000000000111110011110110111                                                                    33    1610868663
52         0          001100000000000111110011111100111                                                                    33    1610868711
53         0          001100000000000111110011111110011111                                                                 36    12886949791
54         0          00110000000000011111001111011011010111                                                               38    51547797207
55         0          00110000000000011111001111011011011101000                                                            41    412382377704
56         0          00110000000000011111001111011011011101001                                                            41    412382377705
57         0          001100000000000111110011110110110111011100                                                           42    824764755420
58         17         00111110110                                                                                          11    502       
59         17         00111110011                                                                                          11    499       
60         1          001100000001100                                                                                      15    6156      
61         1          001100000000001                                                                                      15    6145      
62         1          001100000001110                                                                                      15    6158      
63         14         101100111101                                                                                         12    2877      
64         0          001100000000000110                                                                                   18    49158     
65         76         010110011                                                                                            9     179       
66         26         10110011111                                                                                          11    1439      
67         36         0100111100                                                                                           10    316       
68         29         11111011011                                                                                          11    2011      
69         41         0111110001                                                                                           10    497       
70         18         01001111011                                                                                          11    635       
71         7          1111101100111                                                                                        13    8039      
72         36         0100111110                                                                                           10    318       
73         49         1011001110                                                                                           10    718       
74         1          101100111100101                                                                                      15    23013     
75         0          0011000000000000111100                                                                               22    786492    
76         31         0011111000                                                                                           10    248       
77         18         01001111010                                                                                          11    634       
78         35         0011111010                                                                                           10    250       
79         58         1111101111                                                                                           10    1007      
80         3          10110011110011                                                                                       14    11507     
81         1          101100111100100                                                                                      15    23012     
82         75         010110010                                                                                            9     178       
83         39         0111110000                                                                                           10    496       
84         38         0100111111                                                                                           10    319       
85         16         00111110010                                                                                          11    498       
86         0          00110000000000011111001101                                                                           26    12584909  
87         28         11111011010                                                                                          11    2010      
88         0          00110000000000011111000101                                                                           26    12584901  
89         1          001100000001101                                                                                      15    6157      
90         0          00110000000000011111000011                                                                           26    12584899  
91         0          0011000000000001111100100111                                                                         28    50339623  
92         0          001100000000000111110011100                                                                          27    25169820  
93         0          00110000000000011111001111101                                                                        29    100679293 
94         14         111110110010                                                                                         12    4018      
95         7          1111101100110                                                                                        13    8038      
96         0          001100000000000111110010011000                                                                       30    201358488 
97         336        1000101                                                                                              7     69        
98         52         1101111001                                                                                           10    889       
99         87         011111011                                                                                            9     251       
100        154        01101100                                                                                             8     108       
101        484        000101                                                                                               6     5         
102        89         101100110                                                                                            9     358       
103        82         011111010                                                                                            9     250       
104        281        0100101                                                                                              7     37        
105        267        0011100                                                                                              7     28        
106        4          0011000000001                                                                                        13    1537      
107        58         1111101110                                                                                           10    1006      
108        147        01011000                                                                                             8     88        
109        117        111111101                                                                                            9     509       
110        251        0001111                                                                                              7     15        
111        364        1010110                                                                                              7     86        
112        64         001100001                                                                                            9     97        
113        5          1011001111000                                                                                        13    5752      
114        239        0001001                                                                                              7     9         
115        283        0100110                                                                                              7     38        
116        431        1110000                                                                                              7     112       
117        117        111111100                                                                                            9     508       
118        31         0011000001                                                                                           10    193       
119        81         011111001                                                                                            9     249       
120        2          00110000000101                                                                                       14    3077      
121        70         010011100                                                                                            9     156       
122        2          00110000000100                                                                                       14    3076      
123        0          0011000000000001111100111101101101110110011111                                                       46    13196236086687
124        2          00110000000001                                                                                       14    3073      
125        0          001100000000000111110011110110110111011011011111                                                     48    52784944346847
126        0          001100000000000111110011110110110111011110011100                                                     48    52784944347036
127        0          00110000000000000                                                                                    17    24576     
128        982        00100                                                                                                5     4         
129        342        1010000                                                                                              7     80        
130        448        1111100                                                                                              7     124       
131        175        10100101                                                                                             8     165       
132        830        110010                                                                                               6     50        
133        243        0001101                                                                                              7     13        
134        348        1010001                                                                                              7     81        
135        314        0111100                                                                                              7     60        
136        364        1010111                                                                                              7     87        
137        434        1110001                                                                                              7     113       
138        261        0011001                                                                                              7     25        
139        291        0101000                                                                                              7     40        
140        1097       01000                                                                                                5     8         
141        425        1101110                                                                                              7     110       
142        398        1100010                                                                                              7     98        
143        381        1011110                                                                                              7     94        
144        434        1110010                                                                                              7     114       
145        331        0111111                                                                                              7     63        
146        71         010011101                                                                                            9     157       
147        176        10100111                                                                                             8     167       
148        236        11111111                                                                                             8     255       
149        156        01101110                                                                                             8     110       
150        295        0101001                                                                                              7     41        
151        400        1100011                                                                                              7     99        
152        358        1010101                                                                                              7     85        
153        218        11011111                                                                                             8     223       
154        757        101101                                                                                               6     45        
155        274        0100100                                                                                              7     36        
156        595        010101                                                                                               6     21        
157        405        1100110                                                                                              7     102       
158        121        00011001                                                                                             8     25        
159        321        0111101                                                                                              7     61        
160        169        10001110                                                                                             8     142       
161        185        10110010                                                                                             8     178       
162        130        00110001                                                                                             8     49        
163        174        10100100                                                                                             8     164       
164        299        0101101                                                                                              7     45        
165        338        1000110                                                                                              7     70        
166        237        0001000                                                                                              7     8         
167        378        1011100                                                                                              7     92        
168        224        11111010                                                                                             8     250       
169        138        00111111                                                                                             8     63        
170        176        10100110                                                                                             8     166       
171        182        10101001                                                                                             8     169       
172        172        10001111                                                                                             8     143       
173        244        0001110                                                                                              7     14        
174        333        1000100                                                                                              7     68        
175        425        1100111                                                                                              7     103       
176        445        1110011                                                                                              7     115       
177        157        01101111                                                                                             8     111       
