原码       频率       哈夫曼编码                                                                                           长度  十进制    
0          0          1010011001101000111111111111111111111111111111111100011111001001001010110111110100                   82    18446744069937081844
1          0          10100110011010001111111111111111111111111111111111000111111                                          59    374722358839082559
2          0          1010011001101000111111111111111111111111111111111100011111001001001010110111110101                   82    18446744069937081845
3          0          10100110011010001111111111111111111111111111100                                                      47    91484950888444
4          0          10100110011010001111111111111111111111111011100011110                                                53    5855036856858398
5          0          1010011001101000111111111111111111111111111111111100011111001001011010                               70    11114883880349463130
6          0          1010011001101000111111111111111111111111111111111100011111001001001010110111110110                   82    18446744069937081846
7          0          1010011001101000111111111111110                                                                      31    1395949566
8          0          10100110011010001111111111111111111111111111101                                                      47    91484950888445
9          69         1110001010                                                                                           10    906       
10         431        1010001                                                                                              7     81        
11         0          10100110011010001111111111111111111111111111111111000111110011111                                    65    5535486891991732127
12         0          1010011001101000111111111111111111111111111111111100011111001001011011                               70    11114883880349463131
13         431        1010010                                                                                              7     82        
14         0          1010011001101000111111111111111111111111111111111100011111001001001010110111110111                   82    18446744069937081847
15         0          10100110011010001111110                                                                              23    5452926   
16         0          101001100110100011111111111110                                                                       30    697974782 
17         0          10100110011010001111111111111111111110                                                               38    178681544702
18         0          101001100110100011111111111111111111111111100                                                        45    22871237722108
19         0          101001100110100011111111111111111111111110111001                                                     48    182969901776825
20         0          101001100110100011111111111111111111111110111110                                                     48    182969901776830
21         0          10100110011010001111111111111111111111111011100011111                                                53    5855036856858399
22         0          1010011001101000111111111111111111111111111111110000                                                 52    2927518428430320
23         0          1010011001101000111111111111111111111111111111111100001111010                                        61    1498889435356330106
24         0          10100110011010001111111111111111111111111111111111000111110101110                                    65    5535486891991732142
25         0          10100110011010001111111111111111111111111111111111000111110011110100                                 68    7390406988514753780
26         0          1010011001101000111111111111111111111111111111111100011111001001011100                               70    11114883880349463132
27         0          101001100110100011111111111111111111111111111111110001111100100100101011101                          75    5188146770701338973
28         0          10100110011010001111111111111111111111111111111111000111110011101000                                 68    7390406988514753768
29         0          10100110011010001111111111111111111111111111111111000111110010010010101101000                        77    2305843009095804264
30         0          1010011001101000111111111111111111111111111111111100011111001001001010111001100110                   82    18446744069937081958
31         0          1010011001101000110                                                                                  19    340806    
32         8151       110                                                                                                  3     6         
33         4          0010010100000                                                                                        13    1184      
34         206        10010110                                                                                             8     150       
35         0          1010011001101000111111111111111110                                                                   34    11167596542
36         4          10100110011011                                                                                       14    10651     
37         0          10100110011010001111111111111111111111110                                                            41    1429452357630
38         10         001001010001                                                                                         12    593       
39         116        101100110                                                                                            9     358       
40         72         1110100100                                                                                           10    932       
41         72         1110100101                                                                                           10    933       
42         0          101001100110100011111111111111111111111110111111                                                     48    182969901776831
43         0          10100110011010001111111111111111110100                                                               38    178681544692
44         666        001010                                                                                               6     10        
45         145        111010011                                                                                            9     467       
46         787        100001                                                                                               6     33        
47         3          10100110001110                                                                                       14    10638     
48         340        0010110                                                                                              7     22        
49         596        1110110                                                                                              7     118       
50         349        0101010                                                                                              7     42        
51         271        11100001                                                                                             8     225       
52         169        00100111                                                                                             8     39        
53         187        10010100                                                                                             8     148       
54         142        111010001                                                                                            9     465       
55         194        10010101                                                                                             8     149       
56         221        10100111                                                                                             8     167       
57         424        1010000                                                                                              7     80        
58         77         1110111101                                                                                           10    957       
59         21         00100101001                                                                                          11    297       
60         0          10100110011010001111111111111111111111111111111111000111110010010010101101001                        77    2305843009095804265
